region,subregion,cardinal_rows,top100_rows,portfolio_position_min,portfolio_position_max,distinct_source_count,source_ids,measure_types,high_confidence_rows,medium_confidence_rows,low_confidence_rows,tier_1_rows,tier_2_rows,zero_floor_rows,population_aggregation
Africa,Eastern Africa,1,1,65,65,1,AFG-S011,derived_census_any_kirundi_read_and_written_persons_age_10_plus,1,0,0,1,0,1,"not summed: measures, years, territories, and overlap universes may differ"
Africa,Horn of Africa,6,6,21,74,1,PM-S020,census_mother_tongue_persons,6,0,0,6,0,6,"not summed: measures, years, territories, and overlap universes may differ"
Africa,Indian Ocean,1,1,73,73,1,PM-S013,language_usually_spoken_at_home_persons,1,0,0,1,0,1,"not summed: measures, years, territories, and overlap universes may differ"
Africa,Southern Africa,12,12,31,79,2,PM-S011 || ZA-S001,census_language_most_often_spoken_in_household_persons_age_1_plus || census_mother_tongue_persons,12,0,0,12,0,12,"not summed: measures, years, territories, and overlap universes may differ"
Africa,Western Africa,4,4,41,82,2,AFG-S008 || AFG-S009,census_mother_tongue_persons_age_3_plus || census_principal_language_commonly_spoken_persons_age_3_plus,3,1,0,4,0,4,"not summed: measures, years, territories, and overlap universes may differ"
Americas,Arctic,1,0,113,113,1,GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,1,0,0,1,0,1,"not summed: measures, years, territories, and overlap universes may differ"
Americas,North America,13,2,86,124,1,GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,13,0,0,13,0,13,"not summed: measures, years, territories, and overlap universes may differ"
Americas,North America (Caribbean and Central American diaspora),1,0,122,122,1,GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,1,0,0,1,0,1,"not summed: measures, years, territories, and overlap universes may differ"
Americas,North America (Caribbean diaspora),3,2,76,130,1,GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,3,0,0,3,0,3,"not summed: measures, years, territories, and overlap universes may differ"
Americas,North America (Central American Indigenous diaspora),4,0,114,128,1,GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,4,0,0,4,0,4,"not summed: measures, years, territories, and overlap universes may differ"
Americas,North America (European nonterritorial diaspora),2,2,83,84,1,GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2,0,0,2,0,2,"not summed: measures, years, territories, and overlap universes may differ"
Americas,North America (Pacific diaspora),8,2,97,126,1,GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,8,0,0,8,0,8,"not summed: measures, years, territories, and overlap universes may differ"
Americas,South America,3,3,87,95,1,PM-S007,census_language_learned_in_childhood_age3plus_persons,3,0,0,3,0,3,"not summed: measures, years, territories, and overlap universes may differ"
Asia,Central Asia,5,5,17,42,5,ALG-S007 || ALG-S008 || ALG-S009 || ALG-S018 || ASSEC-S006,census_mother_tongue_persons || census_native_language_of_own_nationality_persons || census_native_language_persons || derived_cldr_territory_functional_language_users || preliminary_census_mother_tongue_persons_rounded,4,1,0,4,1,5,"not summed: measures, years, territories, and overlap universes may differ"
Asia,East Asia,1,1,48,48,1,ASSEC-S006,derived_cldr_territory_functional_language_users,0,1,0,0,1,1,"not summed: measures, years, territories, and overlap universes may differ"
Asia,South Asia,26,26,2,78,5,ASSEC-S006 || ASSEC-S018 || PM-S001 || PM-S003 || PM-S004,census_mother_tongue_persons || census_same_name_mother_tongue_component_persons || derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator || derived_cldr_territory_functional_language_users,21,5,0,21,5,26,"not summed: measures, years, territories, and overlap universes may differ"
Asia,Southeast Asia,26,26,1,99,8,ALG-S011 || ALG-S014 || ASSEC-S006 || ASSEC-S007 || ASSEC-S008 || PM-S005 || PM-S021 || TH-S001,census_mother_tongue_persons || CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract || daily_language_at_home_age5plus_persons || derived_cldr_territory_functional_language_users || derived_union_of_mutually_exclusive_census_strata_persons || official_long_form_census_able_to_speak_indonesian_persons_age5plus || peer_reviewed_published_lower_bound_speakers,23,3,0,19,7,26,"not summed: measures, years, territories, and overlap universes may differ"
Europe,Central Europe,4,4,57,90,1,GRG-S006,census_languages_used_at_home_multiple_response_persons,4,0,0,4,0,4,"not summed: measures, years, territories, and overlap universes may differ"
Europe,Northern Europe,1,1,54,54,1,PM-S016,self_reported_daily_use_outside_education_persons,1,0,0,1,0,1,"not summed: measures, years, territories, and overlap universes may differ"
Oceania,Australia,10,0,109,134,4,GRG-S002 || GRG-S003 || GRG-S004 || GRG-S005,census_language_used_at_home_persons,10,0,0,10,0,10,"not summed: measures, years, territories, and overlap universes may differ"
Oceania,Polynesia,2,2,51,88,1,PM-S014,census_languages_spoken_multiple_response_persons,2,0,0,2,0,2,"not summed: measures, years, territories, and overlap universes may differ"
