portfolio_position,intervention_id,intervention_name,target_profiles,territory_or_scope,population_low,population_base,population_high,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,marginal_access_high_optimistic_sensitivity,access_factor_status,gross_tokens_low,gross_tokens_base,gross_tokens_high,base_marginal_access_per_million_tokens,conservative_access_per_million_tokens,optimistic_access_per_million_tokens,scarcity_adjusted_access_per_million_tokens,scarcity_adjusted_access_per_million_tokens_sensitivity,base_efficiency_rank_low,base_efficiency_rank_high,conservative_efficiency_rank_low,conservative_efficiency_rank_high,optimistic_efficiency_rank_low,optimistic_efficiency_rank_high,scarcity_efficiency_rank_low,scarcity_efficiency_rank_high,informative_rank_best,informative_rank_worst,informative_rank_views_available,conservative_view_treatment,admission_lane,admission_lane_rank_low,admission_lane_rank_high,population_observation_ids,population_source_ids,sensitivity_label_note,evidence_caveat
1,NAT-121,Bahasa Indonesia,id-Latn-ID,Indonesia,0,248501794,248501794,0,119280861,248501794,248501794,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,29285397.991,0.000,272260020.137,271153.379,271153.379,1,1,1,134,1,1,25,25,1,25,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,1,1,POP-ID-018,PM-S021,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
2,NAT-001,Bangladesh Bangla,bn-Beng-BD,Bangladesh,0,165323060,165323060,0,65302609,165323060,165323060,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16032856.221,0.000,181128912.272,3265957.026,3265957.026,3,3,1,134,2,2,11,11,2,11,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,2,2,ASSEC-BD-BN-001,ASSEC-S006,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
3,NAT-003,Telugu,te-Telu-IN,India,80912459,80912459,80912459,0,57833869,78144198,78144198,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,14199158.665,0.000,85615240.754,7888427.809,7888427.809,4,4,1,134,6,6,1,1,1,6,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,1,1,POP-IN-COMP-021,PM-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
4,NAT-002,Indian Bengali,bn-Beng-IN,India,96177835,96177835,96177835,0,69699712,93375817,93375817,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,17112416.767,0.000,102303091.690,3485867.712,3485867.712,2,2,1,134,3,3,9,9,2,9,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,2,2,POP-IN-COMP-002,PM-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
5,NAT-028,Vietnamese,vi-Latn-VN,Vietnam,89000000,89000000,89000000,0,42777849,89000000,89000000,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,10502660.047,0.000,97508920.971,1458704.032,1458704.032,7,7,1,134,4,4,17,17,4,17,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,4,4,ASSEC-VN-VI-001,ASSEC-S007,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
6,NAT-006,Marathi,mr-Deva-IN,India,82801140,82801140,82801140,0,50316309,75430264,75430264,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,12353475.001,0.000,82641838.777,7434963.586,7434963.586,5,5,1,134,7,7,2,2,2,7,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,2,2,POP-IN-COMP-013,PM-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
7,NAT-004,Indian Tamil,ta-Taml-IN,India,68888839,68888839,68888839,0,48387709,66095914,66095914,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,11879972.227,0.000,72415070.278,5499987.601,5499987.601,6,6,1,134,9,9,5,5,5,9,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,6,6,POP-IN-COMP-020,PM-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
8,NAT-015,Western Punjabi,pnb-Arab-PK,Pakistan,88915544,88915544,88915544,0,26167845,88915544,88915544,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,6424632.996,0.000,97416390.483,,,13,13,1,134,5,5,35,134,5,13,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,5,5,POP-PK-002,PM-S003,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
9,NAT-038,Javanese,jv-Latn-ID,Indonesia,68044660,68044660,68044660,0,32661437,68044660,68044660,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,8018915.805,0.000,74550127.802,7350675.379,7350675.379,9,9,1,134,8,8,3,3,3,9,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,3,3,POP-ID-001,PM-S005,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
10,NAT-007,Gujarati,gu-Gujr-IN,India,55036204,55036204,55036204,0,34089878,50467358,50467358,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,8369621.382,0.000,55292332.841,6432213.067,6432213.067,8,8,1,134,11,11,4,4,4,11,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,8,8,POP-IN-COMP-005,PM-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
11,NAT-029,Thai,th-Thai-TH,Thailand,64080191,64080191,64080191,0,29188527,64080191,64080191,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,7166259.723,0.000,70206632.360,862602.684,862602.684,12,12,1,134,10,10,21,21,10,21,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,10,10,TH-2010-003,TH-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
